period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
2,00:11:42.487,56,42,0,2,212,Atlético Madrid,5472,Mario Mandžukić,0.7835,"[120.0, 39.6, 2.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Centre,Low
1,00:43:46.549,43,46,0,1,214,Espanyol,6766,Gerard Moreno Balaguero,0.7835,"[120.0, 43.2, 0.2]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,Medium
2,00:48:46.790,93,46,1,2,904,Bayer Leverkusen,28268,Exequiel Alejandro Palacios,0.7835,"[120.0, 36.9, 1.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Extreme
1,00:35:41.660,35,41,0,1,360,Rayo Vallecano,26848,Roberto Trashorras Gayoso,0.7835,"[119.5, 36.9, 1.7]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-1,0,Left,Medium
1,00:13:09.839,13,9,0,0,230,Udinese,5204,Bruno Miguel Borges Fernandes,0.7835,"[120.0, 42.6, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Medium
1,00:25:52.517,25,52,1,1,230,Udinese,5204,Bruno Miguel Borges Fernandes,0.7835,"[119.3, 38.0, 0.4]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,0,0,Left,Medium
1,00:28:39.916,28,39,0,0,189,Ingolstadt,40464,Moritz Hartmann,0.7835,"[120.0, 42.7, 0.9]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Medium
2,00:45:53.674,90,53,1,0,39,Manchester United,3294,Juan Manuel Mata García,0.7835,"[120.0, 40.0, 1.5]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Centre,High
2,00:07:04.415,52,4,0,0,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,0.7835,"[120.0, 41.7, 1.3]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,High
2,00:36:39.068,81,39,0,1,220,Real Madrid,5207,Cristiano Ronaldo dos Santos Aveiro,0.7835,"[120.0, 43.2, 0.9]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,Extreme
2,00:01:45.631,46,45,0,1,1,Arsenal,15516,Thierry Henry,0.7835,"[120.0, 37.4, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,High
2,00:07:18.370,52,18,0,2,1049,Granada,25707,Francisco Manuel Rico Castro,0.7835,"[120.0, 43.6, 1.6]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Right,Low
1,00:45:53.286,45,53,0,0,749,Tottenham Hotspur Women,15706,Rachel Furness,0.7835,"[120.0, 37.7, 0.0]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,High
1,00:09:21.657,9,21,0,0,229,AS Roma,6973,Edin Džeko,0.7835,"[120.0, 39.3, 0.6]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Centre,Medium
2,00:24:03.663,69,3,1,1,852,Norway Women's,10385,Ada Stolsmo Hegerberg,0.7835,"[120.0, 35.9, 0.2]",40,Right Foot,88,Penalty,98,Off T,93,Normal,"[{'location': [120.0, 40.2], 'player': {'id': 32099, 'name': 'Livia Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0,0,Left,High
1,00:34:15.835,34,15,1,0,217,Barcelona,25879,Ronaldo de Assis Moreira,0.7835,"[120.0, 36.4, 0.1]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Left,Medium
2,00:09:12.792,54,12,1,0,968,Arsenal WFC,15616,Kim Little,0.7835,"[120.0, 42.8, 0.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Right,High
